,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
3,2024-09-13,20:30,Bundesliga,Matchweek 3,Fri,Home,W,4.0,2.0,Heidenheim,2.6,1.8,60.0,81365.0,Julian Brandt,4-2-3-1,4-2-3-1,Robert Schröder,Match Report,,12.0,5.0,17.0,0.0,1,1,2025,Dortmund
5,2024-09-22,17:30,Bundesliga,Matchweek 4,Sun,Away,L,1.0,5.0,Stuttgart,0.7,3.4,48.0,60000.0,Julian Brandt,4-2-3-1,4-4-2,Florian Badstübner,Match Report,,7.0,3.0,12.9,0.0,0,0,2025,Dortmund
6,2024-09-27,20:30,Bundesliga,Matchweek 5,Fri,Home,W,4.0,2.0,Bochum,3.2,1.3,66.0,81365.0,Emre Can,4-2-3-1,4-1-2-1-2,Felix Brych,Match Report,,22.0,7.0,16.4,0.0,1,1,2025,Dortmund
8,2024-10-05,15:30,Bundesliga,Matchweek 6,Sat,Away,L,1.0,2.0,Union Berlin,0.7,1.5,67.0,,Emre Can,4-2-3-1,3-4-3,Tobias Reichel,Match Report,,8.0,4.0,18.3,0.0,0,0,2025,Dortmund
9,2024-10-18,20:30,Bundesliga,Matchweek 7,Fri,Home,W,2.0,1.0,St. Pauli,2.6,0.6,74.0,81365.0,Emre Can,4-2-3-1,3-4-3,Matthias Jöllenbeck,Match Report,,20.0,7.0,13.4,0.0,0,0,2025,Dortmund
11,2024-10-26,15:30,Bundesliga,Matchweek 8,Sat,Away,L,1.0,2.0,Augsburg,1.0,0.6,75.0,30660.0,Julian Brandt,4-2-3-1,5-3-2,Tobias Welz,Match Report,,11.0,4.0,20.1,0.0,0,0,2025,Dortmund
13,2024-11-02,18:30,Bundesliga,Matchweek 9,Sat,Home,W,2.0,1.0,RB Leipzig,2.0,0.5,57.0,81365.0,Emre Can,4-1-4-1,4-4-2,Tobias Stieler,Match Report,,20.0,7.0,14.3,1.0,0,0,2025,Dortmund
15,2024-11-09,15:30,Bundesliga,Matchweek 10,Sat,Away,L,1.0,3.0,Mainz 05,0.9,2.0,47.0,33000.0,Emre Can,4-1-4-1,3-4-3,Florian Badstübner,Match Report,,1.0,0.0,23.0,0.0,1,1,2025,Dortmund
16,2024-11-23,15:30,Bundesliga,Matchweek 11,Sat,Home,W,4.0,0.0,Freiburg,1.3,0.8,59.0,81365.0,Julian Brandt,4-1-4-1,4-2-3-1,Felix Brych,Match Report,,19.0,7.0,18.7,1.0,0,0,2025,Dortmund
18,2024-11-30,18:30,Bundesliga,Matchweek 12,Sat,Home,D,1.0,1.0,Bayern Munich,0.6,1.5,33.0,81365.0,Nico Schlotterbeck,4-2-3-1,4-2-3-1,Sven Jablonski,Match Report,,7.0,2.0,18.3,0.0,0,0,2025,Dortmund
19,2024-12-07,18:30,Bundesliga,Matchweek 13,Sat,Away,D,1.0,1.0,Gladbach,1.5,1.1,60.0,54042.0,Nico Schlotterbeck,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,16.0,3.0,14.6,0.0,0,0,2025,Dortmund
21,2024-12-15,17:30,Bundesliga,Matchweek 14,Sun,Home,D,1.0,1.0,Hoffenheim,0.5,1.0,54.0,81365.0,Emre Can,4-2-3-1,4-4-2,Harm Osmers,Match Report,,6.0,2.0,16.9,1.0,0,0,2025,Dortmund
1,2024-08-24,15:30,Bundesliga,Matchweek 1,Sat,Away,D,2.0,2.0,Augsburg,1.4,1.0,54.0,,Marco Friedl,3-5-2,4-1-2-1-2,,Match Report,,11.0,5.0,13.0,0.0,0,0,2025,Werder Bremen
2,2024-08-31,15:30,Bundesliga,Matchweek 2,Sat,Home,D,0.0,0.0,Dortmund,0.3,0.6,47.0,42100.0,Marco Friedl,3-4-3,4-2-3-1,Robert Hartmann,Match Report,,5.0,1.0,19.8,1.0,0,0,2025,Werder Bremen
3,2024-09-15,17:30,Bundesliga,Matchweek 3,Sun,Away,W,2.0,1.0,Mainz 05,1.6,1.1,42.0,32000.0,Marco Friedl,3-4-3,3-4-3,Benjamin Brand,Match Report,,13.0,3.0,16.1,0.0,1,1,2025,Werder Bremen
4,2024-09-21,15:30,Bundesliga,Matchweek 4,Sat,Home,L,0.0,5.0,Bayern Munich,0.0,3.0,31.0,42100.0,Niklas Stark,3-5-2,4-2-3-1,Bastian Dankert,Match Report,,0.0,0.0,,0.0,0,0,2025,Werder Bremen
5,2024-09-29,17:30,Bundesliga,Matchweek 5,Sun,Away,W,4.0,3.0,Hoffenheim,2.9,1.2,64.0,26018.0,Niklas Stark,3-4-3,3-4-1-2,Tobias Reichel,Match Report,,23.0,10.0,14.2,1.0,0,0,2025,Werder Bremen
6,2024-10-05,15:30,Bundesliga,Matchweek 6,Sat,Home,L,0.0,1.0,Freiburg,1.0,1.0,58.0,41200.0,Marco Friedl,3-4-3,4-2-3-1,Tobias Welz,Match Report,,12.0,3.0,19.6,1.0,0,0,2025,Werder Bremen
7,2024-10-20,17:30,Bundesliga,Matchweek 7,Sun,Away,W,4.0,2.0,Wolfsburg,2.0,1.8,57.0,28917.0,Marco Friedl,3-4-3,3-4-1-2,Daniel Schlager,Match Report,,15.0,7.0,16.8,1.0,0,0,2025,Werder Bremen
8,2024-10-26,18:30,Bundesliga,Matchweek 8,Sat,Home,D,2.0,2.0,Leverkusen,1.6,1.3,43.0,,Marco Friedl,3-4-3,3-4-3,Florian Badstübner,Match Report,,13.0,8.0,16.6,0.0,0,0,2025,Werder Bremen
10,2024-11-03,17:30,Bundesliga,Matchweek 9,Sun,Away,L,1.0,4.0,Gladbach,1.4,2.5,53.0,54042.0,Marco Friedl,3-4-3,4-2-3-1,Bastian Dankert,Match Report,,15.0,5.0,15.2,0.0,0,0,2025,Werder Bremen
11,2024-11-09,15:30,Bundesliga,Matchweek 10,Sat,Home,W,2.0,1.0,Holstein Kiel,1.7,0.7,60.0,42100.0,Marco Friedl,3-4-3,3-5-2,Sören Storks,Match Report,,16.0,5.0,15.2,1.0,0,0,2025,Werder Bremen
12,2024-11-23,18:30,Bundesliga,Matchweek 11,Sat,Away,L,0.0,1.0,Eint Frankfurt,0.4,1.1,50.0,58000.0,Marco Friedl,3-4-3,4-4-2,Florian Badstübner,Match Report,,8.0,1.0,20.3,0.0,0,0,2025,Werder Bremen
13,2024-11-30,15:30,Bundesliga,Matchweek 12,Sat,Home,D,2.0,2.0,Stuttgart,1.6,1.8,43.0,42100.0,Marco Friedl,4-4-2,4-2-3-1,Harm Osmers,Match Report,,20.0,6.0,15.4,0.0,0,0,2025,Werder Bremen
15,2024-12-07,15:30,Bundesliga,Matchweek 13,Sat,Away,W,1.0,0.0,Bochum,0.8,1.2,48.0,26000.0,Marco Friedl,4-4-2,3-4-3,Felix Brych,Match Report,,9.0,1.0,16.3,0.0,0,0,2025,Werder Bremen
16,2024-12-14,18:30,Bundesliga,Matchweek 14,Sat,Away,W,2.0,0.0,St. Pauli,1.0,0.6,44.0,29546.0,Marco Friedl,3-5-2,3-4-3,Robert Hartmann,Match Report,,8.0,4.0,17.5,0.0,0,0,2025,Werder Bremen
1,2024-08-25,15:30,Bundesliga,Matchweek 1,Sun,Home,L,2.0,3.0,Bayern Munich,1.9,2.4,30.0,30000.0,Maximilian Arnold,4-2-3-1,4-2-3-1,,Match Report,,9.0,1.0,19.7,0.0,1,1,2025,Wolfsburg
2,2024-08-31,15:30,Bundesliga,Matchweek 2,Sat,Away,W,2.0,0.0,Holstein Kiel,1.3,1.1,46.0,15034.0,Maximilian Arnold,4-2-3-1,3-4-1-2,Florian Exner,Match Report,,13.0,4.0,18.3,1.0,0,0,2025,Wolfsburg
3,2024-09-14,15:30,Bundesliga,Matchweek 3,Sat,Home,L,1.0,2.0,Eint Frankfurt,1.5,2.5,60.0,26281.0,Maximilian Arnold,4-1-4-1,4-4-2,Harm Osmers,Match Report,,18.0,4.0,17.9,0.0,0,0,2025,Wolfsburg
4,2024-09-22,15:30,Bundesliga,Matchweek 4,Sun,Away,L,3.0,4.0,Leverkusen,0.7,1.9,22.0,29250.0,Maximilian Arnold,4-1-4-1,3-4-3,Sascha Stegemann,Match Report,,9.0,4.0,22.1,0.0,0,0,2025,Wolfsburg
5,2024-09-28,15:30,Bundesliga,Matchweek 5,Sat,Home,D,2.0,2.0,Stuttgart,1.1,1.8,31.0,27135.0,Maximilian Arnold,4-4-2,4-2-3-1,Sven Jablonski,Match Report,,5.0,2.0,14.3,0.0,0,0,2025,Wolfsburg
6,2024-10-05,15:30,Bundesliga,Matchweek 6,Sat,Away,W,3.0,1.0,Bochum,2.4,1.7,42.0,24630.0,Maximilian Arnold,3-4-1-2,4-3-1-2,Max Burda,Match Report,,16.0,4.0,18.2,0.0,0,1,2025,Wolfsburg
7,2024-10-20,17:30,Bundesliga,Matchweek 7,Sun,Home,L,2.0,4.0,Werder Bremen,1.8,2.0,43.0,28917.0,Maximilian Arnold,3-4-1-2,3-4-3,Daniel Schlager,Match Report,,14.0,5.0,16.3,0.0,0,0,2025,Wolfsburg
8,2024-10-26,15:30,Bundesliga,Matchweek 8,Sat,Away,D,0.0,0.0,St. Pauli,1.1,0.8,46.0,29546.0,Kamil Grabara,4-2-3-1,3-4-3,Tobias Reichel,Match Report,,9.0,4.0,17.1,0.0,0,0,2025,Wolfsburg
10,2024-11-02,15:30,Bundesliga,Matchweek 9,Sat,Home,D,1.0,1.0,Augsburg,1.2,0.5,69.0,22654.0,Maximilian Arnold,4-2-3-1,3-5-2,Felix Brych,Match Report,,18.0,5.0,17.7,1.0,0,0,2025,Wolfsburg
11,2024-11-10,19:30,Bundesliga,Matchweek 10,Sun,Away,W,3.0,1.0,Heidenheim,1.5,2.4,35.0,15000.0,Maximilian Arnold,4-5-1,4-2-3-1,Harm Osmers,Match Report,,13.0,6.0,14.1,1.0,0,0,2025,Wolfsburg
12,2024-11-23,15:30,Bundesliga,Matchweek 11,Sat,Home,W,1.0,0.0,Union Berlin,0.6,0.5,55.0,23861.0,Maximilian Arnold,4-2-3-1,3-4-3,Tobias Stieler,Match Report,,10.0,5.0,18.9,1.0,0,0,2025,Wolfsburg
13,2024-11-30,15:30,Bundesliga,Matchweek 12,Sat,Away,W,5.0,1.0,RB Leipzig,2.2,1.0,37.0,40000.0,Maximilian Arnold,4-3-3,4-4-2,Martin Petersen,Match Report,,13.0,8.0,16.3,1.0,0,0,2025,Wolfsburg
15,2024-12-08,15:30,Bundesliga,Matchweek 13,Sun,Home,W,4.0,3.0,Mainz 05,1.2,2.6,44.0,20036.0,Maximilian Arnold,4-4-2,3-4-3,Timo Gerach,Match Report,,10.0,5.0,19.9,1.0,0,0,2025,Wolfsburg
16,2024-12-13,20:30,Bundesliga,Matchweek 14,Fri,Away,L,2.0,3.0,Freiburg,1.8,2.1,47.0,32600.0,Maximilian Arnold,4-4-2,4-2-2-2,Sascha Stegemann,Match Report,,20.0,5.0,18.5,0.0,0,0,2025,Wolfsburg
1,2024-08-23,20:30,Bundesliga,Matchweek 1,Fri,Home,L,2.0,3.0,Leverkusen,1.6,2.7,43.0,54042.0,Jonas Omlin,4-2-3-1,3-4-3,,Match Report,,14.0,7.0,15.3,0.0,0,0,2025,Monchengladbach
2,2024-08-31,15:30,Bundesliga,Matchweek 2,Sat,Away,W,2.0,0.0,Bochum,2.9,0.7,61.0,26000.0,Jonas Omlin,4-2-3-1,4-1-2-1-2,Sören Storks,Match Report,,15.0,5.0,14.8,0.0,0,0,2025,Monchengladbach
3,2024-09-14,15:30,Bundesliga,Matchweek 3,Sat,Home,L,1.0,3.0,Stuttgart,1.6,2.2,44.0,,Jonas Omlin,4-2-3-1,4-2-2-2,Felix Brych,Match Report,,15.0,7.0,15.5,0.0,0,0,2025,Monchengladbach
4,2024-09-21,18:30,Bundesliga,Matchweek 4,Sat,Away,L,0.0,2.0,Eint Frankfurt,1.7,2.7,63.0,58000.0,Julian Weigl,4-2-3-1,4-4-2,Tobias Welz,Match Report,,25.0,7.0,17.6,1.0,0,0,2025,Monchengladbach
5,2024-09-28,15:30,Bundesliga,Matchweek 5,Sat,Home,W,1.0,0.0,Union Berlin,0.9,0.7,62.0,53056.0,Julian Weigl,4-2-3-1,3-4-3,Daniel Schlager,Match Report,,8.0,2.0,14.6,0.0,0,0,2025,Monchengladbach
6,2024-10-04,20:30,Bundesliga,Matchweek 6,Fri,Away,L,1.0,2.0,Augsburg,0.5,1.3,65.0,30660.0,Julian Weigl,4-2-3-1,3-5-2,Florian Badstübner,Match Report,,11.0,4.0,15.1,0.0,0,0,2025,Monchengladbach
7,2024-10-19,15:30,Bundesliga,Matchweek 7,Sat,Home,W,3.0,2.0,Heidenheim,3.6,2.0,66.0,50000.0,Julian Weigl,4-2-3-1,4-2-3-1,Daniel Siebert,Match Report,,19.0,9.0,16.0,0.0,1,1,2025,Monchengladbach
8,2024-10-25,20:30,Bundesliga,Matchweek 8,Fri,Away,D,1.0,1.0,Mainz 05,0.7,1.7,48.0,33000.0,Julian Weigl,4-2-3-1,3-4-3,Martin Petersen,Match Report,,9.0,5.0,18.3,1.0,0,0,2025,Monchengladbach
10,2024-11-03,17:30,Bundesliga,Matchweek 9,Sun,Home,W,4.0,1.0,Werder Bremen,2.5,1.4,47.0,54042.0,Julian Weigl,4-2-3-1,3-4-3,Bastian Dankert,Match Report,,16.0,7.0,14.5,0.0,0,0,2025,Monchengladbach
11,2024-11-09,18:30,Bundesliga,Matchweek 10,Sat,Away,D,0.0,0.0,RB Leipzig,0.9,1.0,39.0,46887.0,Julian Weigl,4-2-3-1,3-4-3,Christian Dingert,Match Report,,14.0,4.0,19.2,0.0,0,0,2025,Monchengladbach
12,2024-11-24,17:30,Bundesliga,Matchweek 11,Sun,Home,W,2.0,0.0,St. Pauli,2.3,1.1,48.0,54042.0,Julian Weigl,4-2-3-1,3-4-3,Robin Braun,Match Report,,15.0,3.0,14.6,0.0,0,0,2025,Monchengladbach
13,2024-11-30,15:30,Bundesliga,Matchweek 12,Sat,Away,L,1.0,3.0,Freiburg,1.5,1.6,52.0,34700.0,Julian Weigl,4-2-3-1,4-2-3-1,Robert Hartmann,Match Report,,15.0,3.0,17.1,0.0,0,0,2025,Monchengladbach
14,2024-12-07,18:30,Bundesliga,Matchweek 13,Sat,Home,D,1.0,1.0,Dortmund,1.1,1.5,40.0,54042.0,Julian Weigl,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,8.0,2.0,22.2,1.0,1,1,2025,Monchengladbach
15,2024-12-14,15:30,Bundesliga,Matchweek 14,Sat,Home,W,4.0,1.0,Holstein Kiel,2.4,0.6,56.0,52210.0,Tim Kleindienst,4-2-3-1,3-5-2,Daniel Schlager,Match Report,,17.0,6.0,13.4,0.0,0,0,2025,Monchengladbach
1,2024-08-24,15:30,Bundesliga,Matchweek 1,Sat,Away,D,1.0,1.0,Mainz 05,0.6,1.2,47.0,31500.0,Christopher Trimmel,3-4-3,3-4-3,,Match Report,,15.0,5.0,19.8,0.0,0,0,2025,Union Berlin
2,2024-08-30,20:30,Bundesliga,Matchweek 2,Fri,Home,W,1.0,0.0,St. Pauli,1.1,0.5,39.0,22012.0,Rani Khedira,3-4-3,3-1-4-2,Bastian Dankert,Match Report,,11.0,5.0,21.5,0.0,0,0,2025,Union Berlin
3,2024-09-14,15:30,Bundesliga,Matchweek 3,Sat,Away,D,0.0,0.0,RB Leipzig,0.6,1.3,33.0,47800.0,Rani Khedira,3-4-3,3-4-3,Sven Jablonski,Match Report,,10.0,3.0,12.9,0.0,0,0,2025,Union Berlin
4,2024-09-21,15:30,Bundesliga,Matchweek 4,Sat,Home,W,2.0,1.0,Hoffenheim,1.2,0.4,51.0,21831.0,Rani Khedira,3-4-3,3-5-2,Matthias Jöllenbeck,Match Report,,12.0,2.0,18.3,2.0,0,0,2025,Union Berlin
5,2024-09-28,15:30,Bundesliga,Matchweek 5,Sat,Away,L,0.0,1.0,Gladbach,0.7,0.9,38.0,53056.0,Rani Khedira,3-4-3,4-2-3-1,Daniel Schlager,Match Report,,9.0,2.0,19.9,0.0,0,0,2025,Union Berlin
6,2024-10-05,15:30,Bundesliga,Matchweek 6,Sat,Home,W,2.0,1.0,Dortmund,1.5,0.7,33.0,,Christopher Trimmel,3-4-3,4-2-3-1,Tobias Reichel,Match Report,,13.0,4.0,19.1,0.0,1,1,2025,Union Berlin
7,2024-10-20,15:30,Bundesliga,Matchweek 7,Sun,Away,W,2.0,0.0,Holstein Kiel,1.1,1.3,52.0,15034.0,Christopher Trimmel,3-4-3,5-3-2,Timo Gerach,Match Report,,14.0,4.0,14.8,0.0,0,0,2025,Union Berlin
8,2024-10-27,17:30,Bundesliga,Matchweek 8,Sun,Home,D,1.0,1.0,Eint Frankfurt,1.4,1.5,48.0,22012.0,Christopher Trimmel,3-4-3,3-5-2,Harm Osmers,Match Report,,13.0,4.0,14.8,0.0,0,0,2025,Union Berlin
10,2024-11-02,15:30,Bundesliga,Matchweek 9,Sat,Away,L,0.0,3.0,Bayern Munich,0.5,2.5,23.0,75000.0,Christopher Trimmel,3-4-3,4-2-3-1,Matthias Jöllenbeck,Match Report,,8.0,1.0,12.7,0.0,0,0,2025,Union Berlin
11,2024-11-08,20:30,Bundesliga,Matchweek 10,Fri,Home,D,0.0,0.0,Freiburg,0.7,1.7,41.0,,Christopher Trimmel,3-4-3,4-2-3-1,Tobias Reichel,Match Report,,12.0,6.0,20.2,0.0,0,0,2025,Union Berlin
12,2024-11-23,15:30,Bundesliga,Matchweek 11,Sat,Away,L,0.0,1.0,Wolfsburg,0.5,0.6,45.0,23861.0,Christopher Trimmel,3-4-3,4-2-3-1,Tobias Stieler,Match Report,,11.0,4.0,17.3,1.0,0,0,2025,Union Berlin
13,2024-11-30,15:30,Bundesliga,Matchweek 12,Sat,Home,L,1.0,2.0,Leverkusen,0.7,0.9,38.0,22012.0,Christopher Trimmel,3-4-3,4-5-1,Christian Dingert,Match Report,,8.0,2.0,15.1,0.0,0,0,2025,Union Berlin
14,2024-12-06,20:30,Bundesliga,Matchweek 13,Fri,Away,L,2.0,3.0,Stuttgart,1.4,2.1,36.0,59000.0,Rani Khedira,3-4-3,4-2-3-1,Tobias Welz,Match Report,,14.0,3.0,15.3,0.0,0,0,2025,Union Berlin
15,2024-12-14,15:30,Bundesliga,Matchweek 14,Sat,Home,D,1.0,1.0,Bochum,2.5,1.0,69.0,22012.0,Rani Khedira,3-4-3,3-4-3,Martin Petersen,Match Report,,22.0,4.0,14.5,0.0,0,0,2025,Union Berlin
1,2024-08-24,15:30,Bundesliga,Matchweek 1,Sat,Home,D,2,2,Werder Bremen,1.0,1.4,46.0,,Jeffrey Gouweleeuw,4-1-2-1-2◆,3-5-2,,Match Report,,11.0,3.0,15.9,0.0,0,0,2025,Augsburg
2,2024-09-01,15:30,Bundesliga,Matchweek 2,Sun,Away,L,0,4,Heidenheim,0.7,3.1,64.0,15000.0,Jeffrey Gouweleeuw,4-1-2-1-2◆,4-2-3-1,Martin Petersen,Match Report,,15.0,0.0,19.6,2.0,0,0,2025,Augsburg
3,2024-09-15,15:30,Bundesliga,Matchweek 3,Sun,Home,W,3,1,St. Pauli,2.7,0.5,44.0,30660.0,Jeffrey Gouweleeuw,3-4-3,3-5-2,Felix Zwayer,Match Report,,18.0,8.0,15.0,0.0,0,0,2025,Augsburg
4,2024-09-20,20:30,Bundesliga,Matchweek 4,Fri,Home,L,2,3,Mainz 05,2.4,1.0,73.0,28913.0,Jeffrey Gouweleeuw,3-4-3,3-4-3,Sören Storks,Match Report,,29.0,7.0,15.5,0.0,0,0,2025,Augsburg
5,2024-09-28,15:30,Bundesliga,Matchweek 5,Sat,Away,L,0,4,RB Leipzig,1.1,3.0,41.0,44407.0,Jeffrey Gouweleeuw,3-4-3,4-4-2,Daniel Siebert,Match Report,,6.0,0.0,17.2,0.0,0,1,2025,Augsburg
6,2024-10-04,20:30,Bundesliga,Matchweek 6,Fri,Home,W,2,1,Gladbach,1.3,0.5,35.0,30660.0,Jeffrey Gouweleeuw,3-5-2,4-2-3-1,Florian Badstübner,Match Report,,15.0,5.0,16.0,0.0,0,0,2025,Augsburg
7,2024-10-19,15:30,Bundesliga,Matchweek 7,Sat,Away,L,1,3,Freiburg,0.6,0.8,43.0,33500.0,Jeffrey Gouweleeuw,3-5-2,4-2-3-1,Bastian Dankert,Match Report,,9.0,3.0,20.7,0.0,0,0,2025,Augsburg
8,2024-10-26,15:30,Bundesliga,Matchweek 8,Sat,Home,W,2,1,Dortmund,0.6,1.0,25.0,30660.0,Jeffrey Gouweleeuw,5-3-2,4-2-3-1,Tobias Welz,Match Report,,12.0,4.0,22.4,1.0,0,0,2025,Augsburg
10,2024-11-02,15:30,Bundesliga,Matchweek 9,Sat,Away,D,1,1,Wolfsburg,0.5,1.2,31.0,22654.0,Jeffrey Gouweleeuw,3-5-2,4-2-3-1,Felix Brych,Match Report,,3.0,1.0,17.8,0.0,0,0,2025,Augsburg
11,2024-11-10,15:30,Bundesliga,Matchweek 10,Sun,Home,D,0,0,Hoffenheim,0.9,0.5,44.0,28300.0,Jeffrey Gouweleeuw,3-5-2,3-4-1-2,Martin Petersen,Match Report,,16.0,4.0,20.4,1.0,0,0,2025,Augsburg
12,2024-11-22,20:30,Bundesliga,Matchweek 11,Fri,Away,L,0,3,Bayern Munich,0.1,3.7,20.0,75000.0,Jeffrey Gouweleeuw,3-5-2,4-2-3-1,Daniel Schlager,Match Report,,2.0,1.0,10.2,0.0,0,0,2025,Augsburg
13,2024-11-30,15:30,Bundesliga,Matchweek 12,Sat,Home,W,1,0,Bochum,1.9,0.3,52.0,29556.0,Jeffrey Gouweleeuw,3-5-2,3-5-2,Tobias Reichel,Match Report,,15.0,3.0,17.3,0.0,1,1,2025,Augsburg
15,2024-12-07,15:30,Bundesliga,Matchweek 13,Sat,Away,D,2,2,Eint Frankfurt,0.6,1.7,34.0,57000.0,Jeffrey Gouweleeuw,3-5-2,4-2-2-2,Bastian Dankert,Match Report,,8.0,3.0,16.8,0.0,0,0,2025,Augsburg
16,2024-12-14,15:30,Bundesliga,Matchweek 14,Sat,Home,L,0,2,Leverkusen,0.6,0.8,35.0,29310.0,Jeffrey Gouweleeuw,3-1-4-2,3-4-3,Felix Zwayer,Match Report,,8.0,4.0,16.1,0.0,0,0,2025,Augsburg
1,2024-08-24,15:30,Bundesliga,Matchweek 1,Sat,Home,W,3,2,Holstein Kiel,3.5,1.7,54.0,18503.0,Oliver Baumann,3-4-1-2,3-4-1-2,,Match Report,,20.0,7.0,17.0,0.0,1,1,2025,Hoffenheim
2,2024-08-31,15:30,Bundesliga,Matchweek 2,Sat,Away,L,1,3,Eint Frankfurt,1.0,2.4,50.0,57100.0,Oliver Baumann,3-4-1-2,3-4-3,Florian Badstübner,Match Report,,11.0,3.0,21.8,0.0,0,0,2025,Hoffenheim
3,2024-09-14,15:30,Bundesliga,Matchweek 3,Sat,Home,L,1,4,Leverkusen,0.9,3.5,40.0,30150.0,Oliver Baumann,3-4-1-2,3-4-3,Daniel Schlager,Match Report,,15.0,5.0,18.4,1.0,0,0,2025,Hoffenheim
4,2024-09-21,15:30,Bundesliga,Matchweek 4,Sat,Away,L,1,2,Union Berlin,0.4,1.2,49.0,21831.0,Oliver Baumann,3-5-2,3-4-3,Matthias Jöllenbeck,Match Report,,7.0,3.0,20.5,1.0,0,0,2025,Hoffenheim
6,2024-09-29,17:30,Bundesliga,Matchweek 5,Sun,Home,L,3,4,Werder Bremen,1.2,2.9,37.0,26018.0,Oliver Baumann,3-4-1-2,3-4-3,Tobias Reichel,Match Report,,10.0,4.0,17.2,2.0,0,0,2025,Hoffenheim
8,2024-10-06,19:30,Bundesliga,Matchweek 6,Sun,Away,D,1,1,Stuttgart,0.9,1.9,33.0,58000.0,Oliver Baumann,3-4-1-2,3-5-2,Harm Osmers,Match Report,,7.0,4.0,15.5,0.0,0,0,2025,Hoffenheim
9,2024-10-19,15:30,Bundesliga,Matchweek 7,Sat,Home,W,3,1,Bochum,2.5,2.7,50.0,19281.0,Oliver Baumann,3-4-1-2,4-1-4-1,Sören Storks,Match Report,,12.0,7.0,15.9,0.0,0,0,2025,Hoffenheim
11,2024-10-27,19:30,Bundesliga,Matchweek 8,Sun,Away,D,0,0,Heidenheim,0.7,1.5,53.0,15000.0,Oliver Baumann,3-4-1-2,4-3-3,Christian Dingert,Match Report,,12.0,4.0,21.9,0.0,0,0,2025,Hoffenheim
13,2024-11-02,15:30,Bundesliga,Matchweek 9,Sat,Home,L,0,2,St. Pauli,0.7,0.9,67.0,26199.0,Oliver Baumann,3-4-1-2,3-4-3,Sascha Stegemann,Match Report,,12.0,6.0,17.7,0.0,0,0,2025,Hoffenheim
15,2024-11-10,15:30,Bundesliga,Matchweek 10,Sun,Away,D,0,0,Augsburg,0.5,0.9,56.0,28300.0,Oliver Baumann,3-4-1-2,3-5-2,Martin Petersen,Match Report,,11.0,2.0,20.5,0.0,0,0,2025,Hoffenheim
16,2024-11-23,15:30,Bundesliga,Matchweek 11,Sat,Home,W,4,3,RB Leipzig,2.0,1.6,59.0,28023.0,Oliver Baumann,4-2-3-1,3-4-3,Frank Willenborg,Match Report,,20.0,7.0,15.3,1.0,0,0,2025,Hoffenheim
18,2024-12-01,15:30,Bundesliga,Matchweek 12,Sun,Away,L,0,2,Mainz 05,0.4,2.2,48.0,30400.0,Oliver Baumann,4-2-3-1,3-4-3,Daniel Siebert,Match Report,,10.0,2.0,21.1,0.0,0,0,2025,Hoffenheim
20,2024-12-08,17:30,Bundesliga,Matchweek 13,Sun,Home,D,1,1,Freiburg,1.4,1.0,50.0,22027.0,Oliver Baumann,4-2-3-1,4-4-2,Sven Jablonski,Match Report,,15.0,5.0,17.2,0.0,0,0,2025,Hoffenheim
22,2024-12-15,17:30,Bundesliga,Matchweek 14,Sun,Away,D,1,1,Dortmund,1.0,0.5,46.0,81365.0,Oliver Baumann,4-4-2,4-2-3-1,Harm Osmers,Match Report,,12.0,1.0,13.4,0.0,0,0,2025,Hoffenheim
1,2024-08-25,17:30,Bundesliga,Matchweek 1,Sun,Home,L,0.0,2.0,Heidenheim,1.2,1.1,60.0,29157.0,Jackson Irvine,3-5-2,4-2-3-1,,Match Report,,11.0,3.0,18.5,1.0,0,0,2025,St Pauli
2,2024-08-30,20:30,Bundesliga,Matchweek 2,Fri,Away,L,0.0,1.0,Union Berlin,0.5,1.1,61.0,22012.0,Jackson Irvine,3-1-4-2,3-4-3,Bastian Dankert,Match Report,,8.0,1.0,16.0,0.0,0,0,2025,St Pauli
3,2024-09-15,15:30,Bundesliga,Matchweek 3,Sun,Away,L,1.0,3.0,Augsburg,0.5,2.7,56.0,30660.0,Jackson Irvine,3-5-2,3-4-3,Felix Zwayer,Match Report,,11.0,3.0,19.9,0.0,0,0,2025,St Pauli
4,2024-09-22,19:30,Bundesliga,Matchweek 4,Sun,Home,D,0.0,0.0,RB Leipzig,1.4,0.7,31.0,29251.0,Jackson Irvine,3-4-3,4-4-2,Robert Hartmann,Match Report,,17.0,4.0,14.0,0.0,0,0,2025,St Pauli
5,2024-09-28,15:30,Bundesliga,Matchweek 5,Sat,Away,W,3.0,0.0,Freiburg,1.1,1.2,27.0,34700.0,Jackson Irvine,3-4-3,4-2-3-1,Timo Gerach,Match Report,,10.0,4.0,17.6,2.0,0,0,2025,St Pauli
6,2024-10-05,18:30,Bundesliga,Matchweek 6,Sat,Home,L,0.0,3.0,Mainz 05,1.0,1.1,56.0,29546.0,Jackson Irvine,3-4-3,3-4-3,Christian Dingert,Match Report,,19.0,4.0,16.5,0.0,0,0,2025,St Pauli
